#token    category
I must look like a right weirdo .    non-intent
I really don't want to get up and get dressed for work    trifle
I like to watch golf #ibreakstereotypes    event
I really want a hot dog . My co-workers went to go have them for lunch today . I'm jealous !    food
I still haven't gotten what I want , and if I got it , I definitely know I'd want to keep it !    non-intent
I need to reread the complete works of Conan Doyle .    event
I wanna go to the beach , but ... Where is the people ? They never take the phone T.T    travel
I guess ill go take a shower . hahaha , I dont really know what im suppose to be writting on this thing so , yeah . aha .    trifle
I need to wake up . I need to wake up . I need to wake up . I HATE BEING A WOMAN .    trifle
I am going to beat him over the head with a metal chair until he gets it ....    trifle
I can now say i've had an obsession with cute clips since i was like , 6 Or 7 . Bryan's in this video , i swear !    non-intent
I am going to get a pedicure tonight ! Can you see my toes when I am on the air ?    goods
I really look forward to Egypt next week ! Its gonna be awesome ..    travel
I wanna watch Circus show please ....    event
I just don't know myself anymore .    non-intent
I know I was on " vacation " last week but is it wrong for me to want to go on vacation ? I need a pool and a spa .    goods
I have an all nighter tonight . Lots of teens ... lots of red bull ... I must be crazy .    non-intent
I should buy more oatmeal cookies .. I just ate the last one .. -.-    food
I hope I made the right decision !?!?!?    trifle
I think I need to fire up the Iron Maiden now ...    event
I want pancakes , should I make some ???    food
I think I can see Vassos Alexander .    event
I need a car . Anybody selling a car ?    goods
i need to see you soon ...................    trifle
I will not let people online stress me ... nope , nope , nope !! They may be ignorant arseholes but thats their problem not mine .... bastards !    trifle
I need to take a loongg vacation , kailani wants me to go visit her in SD , who's up for cali ?    travel
I just finished redesigning layout for TS . The look is complete , now I just have to add the music , twitter , & links . xD    non-intent
I meant to say I don't know his roomate at all & it make me nervous . IDK y but I just do    non-intent
I will go and dance in room    event
I need to get up ... get up ..    trifle
I need somethn new in my life .    trifle
I know you miss me .... if you think it's u ... then it is you ... stop frontin ... if da shoe fits ..... WEAR IT !    non-intent
I decided to try using Twitter again .    trifle
i need a new shelf ..    goods
I may rent a room in my house & use their rent money to buy me a Harley .... wouldn't be anything coming out of my pocket ... hmmmm    goods
I totally made tuna croquettes last night and they were delicious . I love you , Alton Brown .    food
I need to go see Hangover !! Looks hilarious !    event
I wanna go to trip . Especially , EU !!!!!!!!!!!!!!!!!!!!!!!!!!!!! please , bring me . kkkkk    travel
I love summertime in chicago . Now all i need to enjoy it is a long vacation .    travel
I love the bassline to You're the One that I want . I want to learn it . Other favorite basslines include 7 Nation Army and Dance , Dance    career
I tried to compare something in real life with " cybering with a hooker in Goldshire "    trifle
I want papa johns so bad if jamon doesn't hook us up I don't like jamon .    food
I spend 10 bucks when i go to the bar . . . That's not bad    non-intent
I want to cry for the Gosselin children ... =( stupid jon and kate    trifle
i need a break from these kids !!!!!!    trifle
I love to bake cookies !! <3    food
I want Jamba Juice now ... Thanks a lot , Blake !!    food
i want to see transformers but got no money ...    event
I should go running to even out the effects of my lunchtime pizza and push-up contest .    event
I want to go swimming !!!!    event
I want 1 of those Mj gloves    goods
I wanna see the shooting of Camp Rock 2 ! Which is next week ! But I can't see it !    event
I love to twitter and wish I had more time to do so .    trifle
I absolutely hate it when people talk to me while I'm brushing my teeth . Hello , can't you see I'm busy here and I definitely can't hear you !    non-intent
i think im gonna go and get a shower ...?    trifle
I think I just saw Budda on my bread ... can I sell it on ebay ?    non-intent
I need sleeeeeeeep before I go to workkkkk . oh and food.my belies hungry    trifle
I really wanna see BRUNO in cinema , anybody else ???    event
I just don't think the sort of magazine writing career that I and dream and others have had will available to the next generation .    non-intent
i need to fix the home pc too , unload pictures from last week and upgrade to iphone 3.0    trifle
i gotta get dressed tho . i'm runnin late like ususal and i don't wanna keep my girl waitin . FYI everywhere i go i'm at least 15 min late    goods
I want to go swimming ............ well at least get a little wet    event
I decided to make moves in the streets now ... got a friend to chop    event
I think i know who my Sasha Thumper is . The Art of Storytellin has a whole new meaning now    non-intent
I enjoy a nice encore I gotta tell ya .    non-intent
I went to a garden party which featured art by local artist Ethan Jack Harrington . He's awesome ! www.ejakart.com    non-intent
I literally want to travel the world ! There are sooo many places I want to visit . Exploring different cultures is exciting to me . Im ready !!!    travel
